"System ID","UPC","EAN","Custom SKU","Manufact. SKU","Item","Remaining","Total Cost","Avg. Cost","Sale Price","Margin"
"210000000007","","","30005","30005","Vietnam 1965-1975 (1984) (used)","1","$0.00","$0.00","$44.95","100%"
"210000000008","079346001750","","","","Imaginiff: 10th Anniversary Edition (2008) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000009","","","30012","","Sixth Fleet: Modern Naval Combat in the Mediterranean (1985) (used)","1","$0.00","$0.00","$49.95","100%"
"210000000010","045708008729","","","","Tac Air (1987) (used)","1","$0.00","$0.00","$49.95","100%"
"210000000011","050758300280","","","","Tokyo Express: The Guadalcanal Naval Campaign – 1942 (1988) (used)","1","$0.00","$0.00","$99.95","100%"
"210000000012","","","A390","","Sorry! (1929) (Made in 1972) (used)","1","$0.00","$0.00","$9.95","100%"
"210000000014","","","A-62","","Careers (1955) (Made in 1965) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000021","074299427541","","","","Harry Potter and the Sorcerer's Stone The Game (2000) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000024","210000000024","","","","Caveman (2007) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000025","069545046003","","","","Sports Franchise (1988) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000028","029877004836","","","","CATAN (1995) (3rd ed 2003) (Settlers of Catan) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000029","029877004836","","","","CATAN (1995) (3rd ed 2003) (Settlers of Catan) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000030","210000000030","","","","Scrabble (1948) (Made in 1953) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000031","631080119674","","","","Ticked Off (2011) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000032","071404310750","","","","Pente (1977) (Made in 2004) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000033","032244041013","","","","HeroQuest (1989)","1","$0.00","$0.00","$199.95","100%"
"210000000034","669165001354","","","","Pirates of the Caribbean DVD Treasure Hunt (2006)","1","$0.00","$0.00","$14.95","100%"
"210000000036","","","1288-18","","Napoleon at Leipzig (1979)","1","$0.00","$0.00","$59.95","100%"
"210000000038","046363030162","","","","Napoleon's Last Battles (1976)  (Made in 1984) (used)","1","$0.00","$0.00","$59.95","100%"
"210000000039","","","480","","Operation Market Garden: Descent into Hell (1985)","1","$0.00","$0.00","$14.95","100%"
"210000000041","","","827","","War and Peace (1980)","1","$0.00","$0.00","$24.95","100%"
"210000000043","","","T107","","Trivial Pursuit: Genus II (1984)    (Master Game - Genus 2 Edition) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000045","","","T105","","Trivial Pursuit: Baby Boomer Master Game (1981) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000046","","","c40381","","Trivial Pursuit: 20th Anniversary Edition (2002) (Canadian Edition) (used)","1","$0.00","$0.00","$29.95","100%"
"210000000048","210000000048","","","","Trivial Pursuit: Genus IV (1996) (Card Set only)","1","$0.00","$0.00","$9.95","100%"
"210000000051","027084645200","","","","Apples to Apples: Party Box Expansion ONE (2004) (Made in 2007)","1","$0.00","$0.00","$9.95","100%"
"210000000052","210000000052","","","","Pass-out (1962) (25th Anniversary Edition) (Made in 1978) (used)","1","$0.00","$0.00","$19.95","100%"
"210000000053","673715828216","","","","Pass-out (1962) (Made in 1990) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000054","021853039009","","","","Family Feud (1977)","1","$0.00","$0.00","$19.95","100%"
"210000000056","029877041220","","","","Giza: The Great Pyramid (2012)","1","$0.00","$0.00","$24.95","100%"
"210000000057","","","","","Think Twice (1974)","1","$0.00","$0.00","$24.95","100%"
"210000000060","210000000060","","","","Pacific Fleet (1983)","1","$0.00","$0.00","$59.95","100%"
"210000000061","210000000061","","","","Paydirt (1970) (Made in 1979) (used)","1","$0.00","$0.00","$99.95","100%"
"210000000062","793573912619","","","","Gross-abulary (2011)","1","$0.00","$0.00","$19.95","100%"
"210000000063","210000000063","","","","Richthofen's War: The Air War 1916-1918 (1972) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000065","05075830013","","","","Pacific War: The Struggle Against Japan 1941-1945 (1985) (used)","1","$0.00","$0.00","$49.95","100%"
"210000000066","210000000066","","","","Assault: Tactical Combat in Europe – 1985 (1983) (used)","1","$0.00","$0.00","$34.95","100%"
"210000000067","008636200314","","","","Auction House and Club House Golf (1991) (NIS)","1","$0.00","$0.00","$29.95","100%"
"210000000069","050758300310","","","","3rd Fleet: Modern Naval Combat in the North Pacific, Caribbean, and Atlantic Oceans (1990) (used)","1","$0.00","$0.00","$199.95","100%"
"210000000070","050758300129","","","","Sixth Fleet: Modern Naval Combat in the Mediterranean (1985) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000071","023332200054","","","","Murder à la carte: Chinese Takeout (1994) (used)","1","$0.00","$0.00","$14.95","100%"
"210000000072","210000000072","","","","Atlantic Wall: The Invasion of Europe June 1944 (1978) (used)","1","$0.00","$0.00","$179.95","100%"
"210000000074","210000000074","","","","Pacific War Classics Vol 1: Tarawa & Saipan (1992) (used)","1","$0.00","$0.00","$9.95","100%"
"210000000076","893477000037","","","","Birthday Gamesake (2004)","1","$0.00","$0.00","$19.95","100%"
"210000000077","772940000005","","","","Mindtrap (1991)","1","$0.00","$0.00","$9.95","100%"
"210000000079","029877004638","","","","Alibi (1993)","1","$0.00","$0.00","$9.95","100%"
"210000000080","66916500029","","","","Family Feud: DVD Game (2006) (used)","1","$0.00","$0.00","$4.95","100%"
"210000000081","073000000332","","","","Encore (1989)","1","$0.00","$0.00","$34.95","100%"
"210000000083","210000000083","","","","Eagle Eye Agency (1982)","1","$0.00","$0.00","$49.95","100%"
"210000000084","210000000084","","","","Clue (1949) (Made in 1969) (used)","1","$0.00","$0.00","$39.95","100%"
"210000000085","210000000085","","","","Too Bad! (2010)","1","$0.00","$0.00","$14.95","100%"
